ZipCode,Region,Division,StateFullName,State,StateANSI,CSA Name,CSA Code,MSA_Name,MSAANSI,County,CountyANSI
99163,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99164,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99166,West,Pacific,Washington,WA,53,,,,,FERRY,19
99167,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99169,West,Pacific,Washington,WA,53,"Moses Lake-Othello, WA",393,,,ADAMS,1
99170,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99171,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99173,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99174,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99176,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99179,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99180,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,PEND OREILLE,51
99181,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99185,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99201,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99202,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99203,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99204,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99205,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99206,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99207,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99208,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99209,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
